Tribunal_Code,Tribunal_Type_Code,Arkaa_Code,District_Code,Name,type_desc,region
4140,9,4101,4000,האזורי לעבודה באר שבע,האזורי לעבודה, באר שבע
4120,9,4101,4000,האזורי לעבודה חיפה,האזורי לעבודה, חיפה
4150,9,4101,4000,האזורי לעבודה ירושלים,האזורי לעבודה, ירושלים
4110,9,4101,4000,האזורי לעבודה נצרת,האזורי לעבודה, נצרת
4130,9,4101,4000,האזורי לעבודה תל אביב,האזורי לעבודה, תל אביב
4010,10,4001,4000,הארצי לעבודה,הארצי לעבודה,
5011,1,5002,5000,המרכז להכשרה והשתלמות שופטים,המרכז להכשרה והשתלמות שופטים,
5010,1,5001,5000,הנהלת בתי המשפט,הנהלת בתי המשפט,
2116,3,2001,3100,כלכלי במחוזי חיפה,כלכלי במחוזי, חיפה
2316,3,2001,3300,כלכלי במחוזי מרכז,כלכלי במחוזי, מרכז
2016,3,2001,3000,כלכלי במחוזי נצרת,כלכלי במחוזי, נצרת
2216,3,2001,3200,כלכלי במחוזי תל אביב,כלכלי במחוזי, תל אביב
2416,3,2001,3400,כלכלי מחוזי באר שבע,כלכלי במחוזי, באר שבע
2516,3,2001,3500,כלכלי מחוזי ירושלים,כלכלי במחוזי, ירושלים
2411,4,2001,3400,מיסים במחוזי באר שבע,מיסים במחוזי, באר שבע
2111,4,2001,3100,מיסים במחוזי חיפה,מיסים במחוזי, חיפה
2511,4,2001,3500,מיסים במחוזי ירושלים,מיסים במחוזי, ירושלים
2311,4,2001,3300,מיסים במחוזי מרכז,מיסים במחוזי, מרכז
2011,4,2001,3000,מיסים במחוזי נצרת,מיסים במחוזי, נצרת
2211,4,2001,3200,מיסים במחוזי תל אביב,מיסים במחוזי, תל אביב
3341,7,3001,3300,משפחה  בשלום פתח תקוה,משפחה בשלום, פתח תקוה
3461,7,3001,3400,משפחה בשלום אילת,משפחה בשלום, אילת
3421,7,3001,3400,משפחה בשלום אשדוד,משפחה בשלום, אשדוד
3431,7,3001,3400,משפחה בשלום אשקלון,משפחה בשלום, אשקלון
3411,7,3001,3400,משפחה בשלום באר שבע,משפחה בשלום, באר שבע
3051,7,3001,3000,משפחה בשלום בית שאן,משפחה בשלום, בית שאן
3521,7,3001,3500,משפחה בשלום בית שמש,משפחה בשלום, בית שמש
3231,7,3001,3200,משפחה בשלום בת ים,משפחה בשלום, בת ים
3451,7,3001,3400,משפחה בשלום דימונה,משפחה בשלום, דימונה
3221,7,3001,3200,משפחה בשלום הרצליה,משפחה בשלום, הרצליה
3131,7,3001,3100,משפחה בשלום חדרה,משפחה בשלום, חדרה
3111,7,3001,3100,משפחה בשלום חיפה,משפחה בשלום, חיפה
3041,7,3001,3000,משפחה בשלום טבריה,משפחה בשלום, טבריה
3511,7,3001,3500,משפחה בשלום ירושלים,משפחה בשלום, ירושלים
3331,7,3001,3300,משפחה בשלום כפר סבא,משפחה בשלום, כפר סבא
3081,7,3001,3000,משפחה בשלום מסעדה,משפחה בשלום, מסעדה
3141,7,3001,3100,משפחה בשלום נהריה,משפחה בשלום, נהריה
3011,7,3001,3000,משפחה בשלום נצרת,משפחה בשלום, נצרת
3321,7,3001,3300,משפחה בשלום נתניה,משפחה בשלום, נתניה
3121,7,3001,3100,משפחה בשלום עכו,משפחה בשלום, עכו
3061,7,3001,3000,משפחה בשלום עפולה,משפחה בשלום, עפולה
3031,7,3001,3000,משפחה בשלום צפת,משפחה בשלום, צפת
3071,7,3001,3000,משפחה בשלום קצרין,משפחה בשלום, קצרין
3151,7,3001,3100,משפחה בשלום קריות,משפחה בשלום, קריות
3441,7,3001,3400,משפחה בשלום קרית גת,משפחה בשלום, קרית גת
3021,7,3001,3000,משפחה בשלום קרית שמונה,משפחה בשלום, קרית שמונה
3311,7,3001,3300,משפחה בשלום ראשון לציון,משפחה בשלום, ראשון לציון
3361,7,3001,3300,משפחה בשלום רחובות,משפחה בשלום, רחובות
3351,7,3001,3300,משפחה בשלום רמלה,משפחה בשלום, רמלה
3211,7,3001,3200,משפחה בשלום תל אביב,משפחה בשלום, תל אביב
3462,6,3001,3400,נוער בשלום אילת,נוער בשלום, אילת
3422,6,3001,3400,נוער בשלום אשדוד,נוער בשלום, אשדוד
3432,6,3001,3400,נוער בשלום אשקלון,נוער בשלום, אשקלון
3412,6,3001,3400,נוער בשלום באר שבע,נוער בשלום, באר שבע
3052,6,3001,3000,נוער בשלום בית שאן,נוער בשלום, בית שאן
3522,6,3001,3500,נוער בשלום בית שמש,נוער בשלום, בית שמש
3232,6,3001,3200,נוער בשלום בת ים,נוער בשלום, בת ים
3452,6,3001,3400,נוער בשלום דימונה,נוער בשלום, דימונה
3222,6,3001,3200,נוער בשלום הרצליה,נוער בשלום, הרצליה
3132,6,3001,3100,נוער בשלום חדרה,נוער בשלום, חדרה
3112,6,3001,3100,נוער בשלום חיפה,נוער בשלום, חיפה
3042,6,3001,3000,נוער בשלום טבריה,נוער בשלום, טבריה
3512,6,3001,3500,נוער בשלום ירושלים,נוער בשלום, ירושלים
3332,6,3001,3300,נוער בשלום כפר סבא,נוער בשלום, כפר סבא
3082,6,3001,3000,נוער בשלום מסעדה,נוער בשלום, מסעדה
3142,6,3001,3100,נוער בשלום נהריה,נוער בשלום, נהריה
3012,6,3001,3000,נוער בשלום נצרת,נוער בשלום, נצרת
3322,6,3001,3300,נוער בשלום נתניה,נוער בשלום, נתניה
3122,6,3001,3100,נוער בשלום עכו,נוער בשלום, עכו
3062,6,3001,3000,נוער בשלום עפולה,נוער בשלום, עפולה
3342,6,3001,3300,נוער בשלום פתח תקוה,נוער בשלום, פתח תקוה
3032,6,3001,3000,נוער בשלום צפת,נוער בשלום, צפת
3072,6,3001,3000,נוער בשלום קצרין,נוער בשלום, קצרין
3152,6,3001,3100,נוער בשלום קריות,נוער בשלום, קריות
3442,6,3001,3400,נוער בשלום קרית גת,נוער בשלום, קרית גת
3022,6,3001,3000,נוער בשלום קרית שמונה,נוער בשלום, קרית שמונה
3312,6,3001,3300,נוער בשלום ראשון לציון,נוער בשלום, ראשון לציון
3362,6,3001,3300,נוער בשלום רחובות,נוער בשלום, רחובות
3352,6,3001,3300,נוער בשלום רמלה,נוער בשלום, רמלה
3212,6,3001,3200,נוער בשלום תל אביב,נוער בשלום, תל אביב
3464,11,3001,3400,ענינים מקומים בשלום אילת,ענינים מקומים בשלום, אילת
